152 ; 10246 ; 711 ; 30 ; ДтЕвро5
153 ; 10247 ; 716 ; 30 ; ДтЕвро5
154 ; 10289 ; 716 ; 40.09 ; ДтЕвро5
155 ; 10341 ; 716 ; 28.75 ; ДтЕвро5
156 ; 10385 ; 716 ; 31.29 ; ДтЕвро5
157 ; 10486 ; 716 ; 35.01 ; ДтЕвро5
158 ; 10526 ; 711 ; 30 ; ДтЕвро5
159 ; 10533 ; 716 ; 30 ; ДтЕвро5
160 ; 10559 ; 716 ; 25.59 ; ДтЕвро5
161 ; 10705 ; 716 ; 42.09 ; ДтЕвро5
162 ; 10773 ; 716 ; 31.94 ; ДтЕвро5
163 ; 10837 ; 716 ; 32.56 ; ДтЕвро5
164 ; 10949 ; 716 ; 15 ; ДтЕвро5
165 ; 11005 ; 716 ; 41.23 ; ДтЕвро5
166 ; 11127 ; 716 ; 41.2 ; ДтЕвро5
167 ; 11201 ; 716 ; 42.74 ; ДтЕвро5
168 ; 11303 ; 716 ; 37.03 ; ДтЕвро5
169 ; 11346 ; 716 ; 13 ; ДтЕвро5
170 ; 11413 ; 716 ; 4 ; Керосин
171 ; 11466 ; 716 ; 20 ; ДтЕвро5
172 ; 11497 ; 716 ; 20 ; ДтЕвро5
173 ; 11564 ; 716 ; 15 ; ДтЕвро5
174 ; 11623 ; 716 ; 20 ; ДтЕвро5
175 ; 11672 ; 716 ; 30 ; ДтЕвро5
176 ; 11755 ; 716 ; 30 ; ДтЕвро5
177 ; 11814 ; 716 ; 30 ; ДтЕвро5
178 ; 11885 ; 716 ; 30 ; ДтЕвро5
179 ; 11951 ; 716 ; 30 ; ДтЕвро5
180 ; 12022 ; 716 ; 36 ; ДтЕвро5
181 ; 12094 ; 716 ; 35 ; ДтЕвро5
182 ; 12144 ; 716 ; 35 ; ДтЕвро5
183 ; 12260 ; 716 ; 37 ; ДтЕвро5
184 ; 12311 ; 716 ; 35 ; ДтЕвро5
185 ; 12384 ; 716 ; 38 ; ДтЕвро5
186 ; 12440 ; 716 ; 30 ; ДтЕвро5
187 ; 12513 ; 716 ; 35 ; ДтЕвро5
188 ; 12574 ; 716 ; 33 ; ДтЕвро5
189 ; 12609 ; 716 ; 30 ; ДтЕвро5
190 ; 12659 ; 716 ; 35 ; ДтЕвро5
191 ; 12725 ; 716 ; 43.65 ; ДтЕвро5
192 ; 12823 ; 716 ; 30 ; ДтЕвро5
193 ; 12885 ; 716 ; 30 ; ДтЕвро5
194 ; 12944 ; 716 ; 30 ; ДтЕвро5
195 ; 13019 ; 716 ; 40 ; ДтЕвро5
196 ; 13092 ; 716 ; 30 ; ДтЕвро5
